id,name
847,South Long Beach
1575,Los Angeles - N. Mai
1948,Compton
2138,Reseda
5791,EBAM-4
7936,Los Angeles - N. Mai
8236,North Holywood
8679,Long Beach Signal Hi
290486,8544 - Roybal Lc
290493,5857 - 107Th St El
290494,2945 - Century Pk El
290497,3548 - Elizabeth Learning Ctr
290509,6192 - Ranchito El
290514,6288 - Rio Vista Elementary
290516,6685 - Sheridan St El
290527,Gulf ES (4315)
290539,5014 - Loyola Village Elementary
290548,4521 - Hesby Oaks
290556,3959 - 42Nd St El
290562,7781 - Wilmington Pk El
290579,4764 - Lanai Road Elementary
290586,5986 - Palms El
290592,6137 - Point Fermin Elementary
290598,4315 - Gulf El
290612,8664 - Gardena Sh
290613,Sheridan St ES (6685)
290617,2383 - Esperanza El
290619,4790 - Lassen Es
290627,4096 - Gates El
290631,2603 - Buchanan El
290647,5342 - Monlux El
290669,6425 - Rowan El
290676,7562 - Vintage Math/Sci Mag
351827,AXJXGCPF
352169,Central Ave.
352228,Imperial Hwy.
352243,Weigand Ave.
923364,Rio Vista ES (6288)
923365,Lanai Rd ES (4764)
929705,Rowan ES (6425)
947150,Gulf ES (4315)
947151,South Shores Per Arts Mag ES (6870)
947152,Arminta St ES (2205)
947153,Calvert ES (2712)
947154,54th St ES (3781)
947155,Stagg ES (6890)
947156,Taft HS (8880)
947157,Sharp ES (6665)
947158,Compton ES (3205)
947159,Curtiss MS (8103)
947160,5014 - Loyola Village ES
947161,Weigand ES (7634)
947162,Vinedale ES (7548)
947163,Trinity ES (7219)
947164,Berendo MS (8057)
947165,Atwater ES (2233)
947166,Valley View ES (7397)
947167,AGVX0MF3
947168,Gates ES (4096)
947169,Napa ES (5446)
947170,7th St ES (6616)
947171,Anatola ES (2110)
947172,Windsor Magnet ES (7822)
947173,Rinaldi Adult Center (9365)
947174,Encino ES (3616)
947175,Dyer ES (3493)
947176,Vanalden ES (7411)
947177,Oxnard ES (5918)
947178,Andasol ES (2117)
947180,Roybal LC (8544)
947182,Kenter Canyon ES (4699)
947183,Budlong ES (2616)
947184,Lassen Es (4790)
947185,Fernangeles ES (3753)
947186,Gardena HS (8664)
947187,Dixie Canyon ES (3438)
947188,Van Deene Ave ES (7419)
947189,La Salle ES (4786)
947190,Cabrillo ES (2685)
947191,Chapman ES (2986)
947192,Roscomare Rd ES (6363)
947193,7370 - Utah El
947194,Lowman Sp Ed Ctr (1948)
947195,Mosk ES (7402)
947196,5986 - Palms ES
947197,Garfield HS/Monterey CHS (8677)
947198,Parthenia ES (6027)
947199,Mountain View ES (5404)
947200,	 North Valley Occupational Ctr (9329)
947201,San Pedro ES (6507)
947202,West Hollywood ES (7649)
947203,Chatsworth ES (3027)
947204,Clear Creek Ed Ctr (1481)
947205,Reseda Colocation
947206,Logan ES (4904)
947207,Coeur D Alene ES (6342)
947208,Delevan Drive ES (3397)
947209,AWL24JH1
947210,Newcastle ES (5479)
947211,Normandie ES (5630)
947212,Webster MS (8481)
947213,Sherman Oaks ES (6699)
947214,Sunny Brae ES (6986)
947215,Dominguez ES (3466)
947216,Avalon Gardens ES (2247)
947217,Gridley ES (4295)
947218,Grand View ES (4247)
947219,Russell ES (6438)
947220,Verdugo Hills HS (8914)
947221,Elizabeth Learning Ctr (3548)
947222,Van Gogh ES (7422)
947223,Woodland Hills ES (7890)
947224,Monroe HS (8768)
947225,Columbus MS (8102)
947226,Knollwood ES (4762)
947227,Montara Ave ES (6878)
947228,Lenicia Weemes ES (7151)
947229,Graham ES (4219)
947230,Stonehurst ES (6945)
947231,Taper ES (7035)
947232,Palisades ES (5959) #1
947233,2068 - Allesandro Elementary
947234,Virginia ES (7575)
947235,Solano ES (6836)
947236,Monlux ES (5342)
947237,Chatsworth HS (8583)
947238,Jefferson HS (8714)
947239,Vintage Math/Sci Mag ES (7562)
947240,Harding ES (4431)
947241,Metropolitan HS (8757)
947242,Marlton ES (1949)
947243,Serrania ES (6606)
947244,Byrd MS (8080)
947245,San Fernando MS (8358)
947246,Maclay MS (8228)
947247,Toluca Lake ES (7192)
947248,Brainard ES (2486)
947249,59th St ES (3795)
947250,Marvin ES (5178)
947251,Dodson MS (8110)
947252,Aragon ES (2178)
947253,Mulholland MS (8259)
947254,Esperanza ES (2383)
947255,7637 - Welby El
947256,Haynes ES (4473)
947257,Valerio ES (7384)
947258,Calabash ES (2704)
947259,Playa Del Rey ES (6110)
947260,Westport Hts ES (7712)
947261,Nestle ES (5452)
947262,Westwood ES (7740)
947263,2741 - Community Magnet
947264,Buchanan ES (2603)
947265,Cohasset ES (3137)
947266,Rosemont ES (6370)
947267,Maywood ES (2381)
947268,Wilbur ES (7774)
947269,Herrick Ave ES (4515)
947270,Hesby Oaks SPAN (4521)
947271,Harrison ES (4438)
947272,ABF4WTTT
947273,Ambler ES (2089)
947274,Hart St ES (4445)
947275,Sierra Park ES (6753)
947276,Diego Rivera LC (8867)
947277,Glenfeliz Blvd ES (4164)
947278,Walgrove ES (7603)
947279,Annandale ES (2151)
947280,Revere MS (8356) #2
947281,Amestoy ES (2096)
947282,Chandler ES (2959)
947283,Van Ness ES (7425)
947284,Alta California ES (7398)
947285,Multnomah St ES (5425)
947286,Century Pk ES (2945)
947287,Bryson ES (2589)
947288,Kittridge ES (4760)
947289,State ES (6918)
947290,Crescent Hts Bl EEC (9597)
947291,Dolores ES (3452)
947292,Topeka Dr ES (7201)
947293,Ranchito ES (6192)
947294,A6DR4SLX
947295,Hamlin ES (4349)
947296,Le Conte MS (8226)
947297,Mid-City Magnet ES (3500)
947298,Colfax ES (3164)
947299,Victory ES (7521)
947300,135th St ES (5877)
947301,Reseda ES (6233)
947302,Canterbury Ave ES (2781)
947303,Woodcrest ES (7863)
947304,Carpenter ES (2822)
947305,Brentwood Sci Mag ES (2507)
947306,Micheltorena ES (5288)
947307,Los Feliz ES (4986)
947308,Castlebay Ln ES (2881)
947309,Wilshire Crest ES (7795)
947310,Norwood ES (5699)
947311,7699 - Westminster El
947312,Canyon ES (2795) #2
947313,Brockton ES (2548)
947314,Justice St ES (4692)
947315,Hancock Park ES (4397)
947316,Canfield ES (2740)
947317,Sheridan St ES (6685)
947318,Sierra Vista ES (6767)
947319,Kester ES (4726)
947320,Wilmington Pk ES (7781)
947321,Wilton Pl ES (7808)
947322,Middleton ES (5301)
947323,42nd St ES (3959)
947324,Wonderland ES (7849)
947325,Hamilton HS (8686)
947326,President ES (6148)
947327,El Sereno ES (3562)
947328,Hollywood HS (8693)
947329,Point Fermin Magnet ES (6137)
947330,Van Nuys HS/Rogers CHS (8895)
947331,7198 - Topanga Canyon
947332,Danube ES (3335)
947333,Marquez ES (5164)
947334,Laurel ES (4808)
947335,Frank Del Olmo ES (2386)
947336,Warner Ave ES (7616)
947338,Glenwood ES (4192)
947339,San Pascual ES (6493)
947340,Mayall ES (5198)
947341,"Knox ES, Dr Owen Lloyd (6869)"
947342,Eshelman ES (3640)
947343,Purche ES (6158)
947344,Nevada ES (5459)
947345,Bonita ES (2473)
947346,San Antonio ES (4641)
947347,Arroyo Seco Museum Science Magnet SPAN (4322)
947348,107th St ES (5857)
947349,Eagle Rock ES (3507)
953769,A2P8277T
953824,AXWG6KH3
1001754,A424LYXV
1002069,2303 - Porter Ranch Community School
1008670,103rd St.
1009028,A2YG9P7N
1037394,Imperial Hwy.
1037399,A0VG3NY7
1037495,A6CW7BPK
1285716,Westminster El (7699)
1314366,Jordan HS (8721)
1373846,Topanga Canyon (7198)
1378636,Allesandro ES (2068)
1533718,Broad Ave ES (2527)
1533720,Lorena St ES (4945)
1533721,Porter Ranch Cmty Sch (2303)
1533911,Unnamed (DTNWP2832 → AKJWNNMC)
1533913,Unnamed (DMFTX4824 → A9MYJPX3)
1533917,Estrella ES (2942)
1533920,Utah ES (7370)
1533921,Unnamed (DPMCM3595 → AH79YTLC)
1716811,"Marco Triangle Park, Venice, California"
1949202,122nd St ES (5887)
1949203,Ranchito ES (6192)
1949204,Unnamed (DCBSH3824 → AX9T9WLM)
1949205,Unnamed (DREKF2031 → A9J7X3VX)
1949206,Unnamed (DFYXJ3461 → A64CNGJG)
2069581,Unnamed (DHZCG3067 → AHYTLTN3)
2812558,Terasaki Life Sciences
2812560,UCLA Ronald Reagan Hospital
2812572,Sycamore Court Apartments
2812577,Sherman Oaks
2812581,Sproul Hall
2812652,CCA 137th and Hindry 2
2812720,Anderson
2819489,Parkside Village
2846873,Wilshire-Montana
2861424,12049 Stanley Park Ct.
2945078,N. Main Street Collocation
3066056,Community Magnet ES (2741)
