id,location_id,parameter
1502,847,pm25
8681,1575,co
8684,1575,no2
2772,1575,o3
2773,1575,pm10
2775,1575,pm25
8683,1575,so2
25553,1948,co
4272261,1948,no
25552,1948,no2
4272197,1948,nox
3446,1948,o3
13574377,1948,pm10
25551,1948,pm25
25574,2138,co
4272105,2138,no
25575,2138,no2
4272278,2138,nox
3843,2138,o3
3842,2138,pm25
4272272,5791,no
25926,5791,no2
4272378,5791,nox
13296645,5791,pm10
15731,5791,pm25
23019,7936,co
4272361,7936,no
25192,7936,no2
4272279,7936,nox
25193,7936,o3
25195,7936,pm10
25196,7936,pm25
25194,7936,so2
4272409,8236,no
24002,8236,no2
4272242,8236,nox
24001,8236,o3
24000,8236,pm25
25187,8679,co
4272379,8679,no
25188,8679,no2
4272450,8679,nox
25189,8679,o3
1562237,8679,pm10
1603568,8679,pm25
25190,8679,so2
1654133,290486,pm1
1654126,290486,pm10
1654141,290486,pm25
1654129,290493,pm1
1654139,290493,pm10
1654143,290493,pm25
1654155,290494,pm1
1654151,290494,pm10
1654156,290494,pm25
1654171,290497,pm1
1654180,290497,pm10
1654168,290497,pm25
1654197,290509,pm1
1654182,290509,pm10
1654191,290509,pm25
2000876,290514,pm1
2000872,290514,pm10
2000869,290514,pm25
1654224,290516,pm1
1654225,290516,pm10
1654217,290516,pm25
1654261,290527,no2
1654260,290527,pm1
1654256,290527,pm10
1654269,290527,pm25
2000847,290539,pm1
2000845,290539,pm10
2000834,290539,pm25
1654309,290548,pm1
1654307,290548,pm10
1654333,290548,pm25
1654337,290556,pm1
1654364,290556,pm10
1654360,290556,pm25
1654335,290562,pm1
1654336,290562,pm10
1654355,290562,pm25
2000460,290579,pm1
2000461,290579,pm10
2000475,290579,pm25
2000708,290586,pm1
2000702,290586,pm10
2000731,290586,pm25
1654447,290592,pm1
1654437,290592,pm10
1654435,290592,pm25
1654485,290598,pm1
1654469,290598,pm10
1654457,290598,pm25
2000691,290612,pm1
2000670,290612,pm10
2000674,290612,pm25
1654510,290613,no2
1654492,290613,pm1
1654504,290613,pm10
1654499,290613,pm25
1654526,290617,pm1
1654537,290617,pm10
1654545,290617,pm25
1654548,290619,pm1
1654533,290619,pm10
1654532,290619,pm25
1654563,290627,pm1
1654570,290627,pm10
1654577,290627,pm25
1654561,290631,pm1
1654558,290631,pm10
1654556,290631,pm25
1654617,290647,pm1
1654611,290647,pm10
1654629,290647,pm25
2000892,290669,pm1
2000888,290669,pm10
2000900,290669,pm25
1654720,290676,pm1
1654722,290676,pm10
1654718,290676,pm25
1999902,351827,no2
1999901,351827,pm1
1999905,351827,pm10
1999896,351827,pm25
2001093,352169,no2
2001065,352169,pm1
2001096,352169,pm10
2001073,352169,pm25
2001287,352228,no2
2001288,352228,pm1
2001275,352228,pm10
2001289,352228,pm25
2001360,352243,no2
2001352,352243,pm1
2001361,352243,pm10
2001343,352243,pm25
2088582,923364,no2
2088598,923364,pm1
2088584,923364,pm10
2088604,923364,pm25
5244578,923364,temperature
5244579,923364,temperature
2088556,923365,no2
2088547,923365,pm1
2088545,923365,pm10
2088548,923365,pm25
5319859,923365,relativehumidity
5244273,923365,temperature
5244272,923365,temperature
2088580,929705,no2
2088599,929705,pm1
2088585,929705,pm10
2088589,929705,pm25
5320029,929705,relativehumidity
5244329,929705,temperature
5244328,929705,temperature
2000498,947150,no2
2000487,947150,pm1
2000477,947150,pm10
2000497,947150,pm25
5319771,947150,relativehumidity
5244238,947150,temperature
5244239,947150,temperature
2001082,947151,pm1
2001088,947151,pm10
2001084,947151,pm25
5244485,947151,temperature
5244484,947151,temperature
2000801,947152,pm1
2000802,947152,pm10
2000821,947152,pm25
5244225,947152,temperature
5244224,947152,temperature
2000784,947153,pm1
2000787,947153,pm10
2000779,947153,pm25
5319719,947153,relativehumidity
5244517,947153,temperature
5244516,947153,temperature
2000901,947154,pm1
2000912,947154,pm10
2000905,947154,pm25
5244294,947154,temperature
5244295,947154,temperature
2000927,947155,pm1
2000944,947155,pm10
2000929,947155,pm25
5319943,947155,relativehumidity
5244381,947155,temperature
5244380,947155,temperature
2000655,947156,pm1
2000661,947156,pm10
2000650,947156,pm25
5244339,947156,temperature
5244338,947156,temperature
2000652,947157,pm1
2000646,947157,pm10
2000645,947157,pm25
5244576,947157,temperature
5244577,947157,temperature
2000780,947158,pm1
2000776,947158,pm10
2000768,947158,pm25
5244408,947158,temperature
5244409,947158,temperature
2000535,947159,pm1
2000527,947159,pm10
2000525,947159,pm25
5244345,947159,temperature
5244344,947159,temperature
2000756,947160,no2
2000741,947160,pm1
2000755,947160,pm10
2000753,947160,pm25
5319764,947160,relativehumidity
5244425,947160,temperature
5244424,947160,temperature
2000559,947161,pm1
2000569,947161,pm10
2000561,947161,pm25
5244400,947161,temperature
5244401,947161,temperature
2000684,947162,pm1
2000672,947162,pm10
2000676,947162,pm25
5244418,947162,temperature
5244419,947162,temperature
2001081,947163,pm1
2001068,947163,pm10
2001076,947163,pm25
5244561,947163,temperature
5244560,947163,temperature
2000941,947164,pm1
2000920,947164,pm10
2000935,947164,pm25
5244531,947164,temperature
5244530,947164,temperature
2000954,947165,pm1
2000966,947165,pm10
2000945,947165,pm25
5319905,947165,relativehumidity
5244314,947165,temperature
5244315,947165,temperature
2000749,947166,pm1
2000759,947166,pm10
2000750,947166,pm25
5319899,947166,relativehumidity
5244384,947166,temperature
5244385,947166,temperature
2001048,947167,pm1
2001056,947167,pm10
2001039,947167,pm25
5244233,947167,temperature
5244232,947167,temperature
2000503,947168,no2
2000485,947168,pm1
2000504,947168,pm10
2000499,947168,pm25
5244448,947168,temperature
5244449,947168,temperature
2000859,947169,pm1
2000868,947169,pm10
2000856,947169,pm25
5244215,947169,temperature
5244214,947169,temperature
2000687,947170,pm1
2000698,947170,pm10
2000686,947170,pm25
5319971,947170,relativehumidity
5244520,947170,temperature
5244521,947170,temperature
2000770,947171,pm1
2000785,947171,pm10
2000771,947171,pm25
5244383,947171,temperature
5244382,947171,temperature
2000810,947172,pm1
2000804,947172,pm10
2000798,947172,pm25
5319952,947172,relativehumidity
5244236,947172,temperature
5244237,947172,temperature
2001016,947173,pm1
2001017,947173,pm10
2001009,947173,pm25
5244454,947173,temperature
5244455,947173,temperature
2000555,947174,pm1
2000547,947174,pm10
2000553,947174,pm25
5244542,947174,temperature
5244543,947174,temperature
2000730,947175,pm1
2000719,947175,pm10
2000715,947175,pm25
5244571,947175,temperature
5244570,947175,temperature
2000549,947176,pm1
2000546,947176,pm10
2000545,947176,pm25
5244427,947176,temperature
5244426,947176,temperature
2000551,947177,pm1
2000572,947177,pm10
2000565,947177,pm25
5244202,947177,temperature
5244203,947177,temperature
2000557,947178,pm1
2000571,947178,pm10
2000552,947178,pm25
5244253,947178,temperature
5244252,947178,temperature
2000728,947180,no2
2000706,947180,pm1
2000705,947180,pm10
2000718,947180,pm25
5244482,947180,temperature
5244483,947180,temperature
2000989,947182,pm1
2000978,947182,pm10
2000977,947182,pm25
5244492,947182,temperature
5244493,947182,temperature
2000500,947183,pm1
2000508,947183,pm10
2000505,947183,pm25
5244357,947183,temperature
5244356,947183,temperature
2000580,947184,no2
2000584,947184,pm1
2000589,947184,pm10
2000599,947184,pm25
5244416,947184,temperature
5244417,947184,temperature
2000846,947185,pm1
2000837,947185,pm10
2000853,947185,pm25
5320086,947185,relativehumidity
5244245,947185,temperature
5244244,947185,temperature
2000531,947186,no2
2000524,947186,pm1
2000542,947186,pm10
2000522,947186,pm25
5244582,947186,temperature
5244583,947186,temperature
2000712,947187,pm1
2000713,947187,pm10
2000723,947187,pm25
5244368,947187,temperature
5244369,947187,temperature
2000797,947188,pm1
2000806,947188,pm10
2000819,947188,pm25
5319879,947188,relativehumidity
5244321,947188,temperature
5244320,947188,temperature
2000720,947189,pm1
2000711,947189,pm10
2000729,947189,pm25
5244222,947189,temperature
5244223,947189,temperature
2000636,947190,pm1
2000615,947190,pm10
2000623,947190,pm25
5244450,947190,temperature
5244451,947190,temperature
2001030,947191,pm1
2001011,947191,pm10
2001006,947191,pm25
5319827,947191,relativehumidity
5244212,947191,temperature
5244213,947191,temperature
2000983,947192,pm1
2000990,947192,pm10
2000981,947192,pm25
5244392,947192,temperature
5244393,947192,temperature
2000653,947193,pm1
2000649,947193,pm10
2000667,947193,pm25
5244282,947193,temperature
5244283,947193,temperature
2000826,947194,pm1
2000825,947194,pm10
2000840,947194,pm25
5244221,947194,temperature
5244220,947194,temperature
2000924,947195,pm1
2000936,947195,pm10
2000939,947195,pm25
5244507,947195,temperature
5244506,947195,temperature
2000556,947196,no2
2000574,947196,pm1
2000548,947196,pm10
2000567,947196,pm25
5319724,947196,relativehumidity
5244421,947196,temperature
5244420,947196,temperature
